,feature,size
2825,"['ci.person_id', '>', '3052699']",5918614.0
2826,"['t.id', '=', 'mi.movie_id', 't.kind_id', '=', '1', 't.production_year', '>', '1968']",5630278.0
2827,"['t.id', '=', 'mc.movie_id', 't.kind_id', '=', '1', 't.production_year', '=', '1991', 'mc.company_type_id', '<', '2']",5451.0
2828,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '=', '7', 't.production_year', '<', '1996', 'ci.person_id', '>', '148838']",27608877.0
2829,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.production_year', '<', '2007']",52568611.0
2830,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '2001', 'ci.person_id', '<', '378094', 'ci.role_id', '>', '1', 'mi.info_type_id', '=', '16']",991367.0
2831,"['t.id', '=', 'mi.movie_id', 't.production_year', '>', '1996', 'mi.info_type_id', '=', '7']",311673.0
2832,"['t.id', '=', 'mi.movie_id', 't.kind_id', '>', '1', 't.production_year', '=', '2005']",285879.0
2833,"['t.id', '=', 'mi.movie_id', 't.kind_id', '=', '1', 't.production_year', '<', '2006']",5690279.0
2834,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '1983', 'ci.role_id', '=', '1', 'mi_idx.info_type_id', '>', '100']",1096922.0
2835,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '1', 't.production_year', '>', '2009', 'mk.keyword_id', '>', '85503']",19829.0
2836,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '=', '7', 't.production_year', '<', '1971', 'mc.company_type_id', '=', '2', 'mi.info_type_id', '=', '8']",21332.0
2837,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '1978', 'ci.person_id', '<', '180761', 'mi.info_type_id', '<', '6']",337801.0
2838,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '=', '1997', 'mi_idx.info_type_id', '>', '101', 'mk.keyword_id', '>', '8232']",159.0
2839,"['mc.company_id', '<', '1465']",750999.0
2840,"['t.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 'mk.keyword_id', '<', '17390']",3022060.0
2841,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '2009', 'mi.info_type_id', '<', '18']",96904965.0
2842,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '2006']",18094447.0
2843,"['t.id', '=', 'mk.movie_id', 't.production_year', '>', '1975', 'mk.keyword_id', '<', '117']",87543.0
2844,"['mc.company_id', '=', '11147', 'mc.company_type_id', '=', '1']",3144.0
2845,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '>', '1917', 'mk.keyword_id', '=', '613']",215019.0
2846,"['ci.person_id', '=', '948732']",58.0
2847,"['t.id', '=', 'mk.movie_id', 't.production_year', '>', '2006', 'mk.keyword_id', '<', '895']",211595.0
2848,"['t.id', '=', 'mi.movie_id', 't.kind_id', '<', '4', 'mi.info_type_id', '<', '3']",1366732.0
2849,"['t.kind_id', '>', '4', 't.production_year', '>', '2012']",40409.0
2850,"['mk.keyword_id', '<', '2883']",1780730.0
2851,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '7', 't.production_year', '<', '2004']",8898428.0
2852,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 'mi.info_type_id', '<', '16', 'mk.keyword_id', '>', '816']",96078249.0
2853,"['mc.company_id', '>', '5388', 'mc.company_type_id', '>', '1']",1024423.0
2854,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 'ci.person_id', '>', '1220770', 'ci.role_id', '=', '2']",60035566.0
2855,"['mk.keyword_id', '>', '16991']",1043452.0
2856,"['mc.company_id', '<', '12', 'mc.company_type_id', '<', '2']",64049.0
2857,"['t.id', '=', 'mi.movie_id', 't.production_year', '=', '1999', 'mi.info_type_id', '=', '18']",11284.0
2858,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '>', '1977', 'mc.company_id', '<', '73762', 'mc.company_type_id', '>', '1']",3849980.0
2859,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '3', 't.production_year', '<', '2009', 'mi_idx.info_type_id', '>', '100']",743258.0
2860,"['mk.keyword_id', '<', '6241']",2518487.0
2861,"['t.id', '=', 'mi.movie_id', 't.production_year', '<', '1978', 'mi.info_type_id', '=', '1']",203630.0
2862,"['t.production_year', '=', '1997']",38955.0
2863,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '=', '1', 'ci.person_id', '>', '2593225', 'ci.role_id', '<', '4', 'mi.info_type_id', '=', '4']",815106.0
2864,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 'mc.company_id', '>', '5442']",44804507.0
2865,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 'mc.company_id', '<', '1080', 'mi_idx.info_type_id', '>', '100']",356511.0
2866,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '1979']",2314663.0
2867,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '>', '2001', 'mi.info_type_id', '>', '16', 'mi_idx.info_type_id', '>', '100']",660375.0
2868,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '1', 't.production_year', '>', '2008', 'mi_idx.info_type_id', '<', '101']",565674.0
2869,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '=', '7', 't.production_year', '>', '2012']",68374.0
2870,"['t.id', '=', 'mc.movie_id', 'mc.company_id', '>', '2925']",1706104.0
2871,"['t.id', '=', 'mc.movie_id', 'mc.company_id', '<', '3005', 'mc.company_type_id', '=', '1']",644747.0
2872,"['ci.person_id', '<', '53496']",474531.0
2873,"['t.id', '=', 'ci.movie_id', 't.kind_id', '>', '1', 't.production_year', '>', '2003', 'ci.person_id', '<', '3275516']",12247888.0
2874,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '<', '1982', 'mk.keyword_id', '<', '2713']",18835351.0
2875,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '2013', 'mc.company_id', '<', '4091']",5990.0
2876,"['t.id', '=', 'mc.movie_id', 'mc.company_id', '=', '67', 'mc.company_type_id', '=', '2']",1164.0
2877,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '1', 'mi.info_type_id', '<', '7', 'mi_idx.info_type_id', '<', '100']",1442744.0
2878,"['mk.keyword_id', '>', '2172']",3018123.0
2879,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '4', 'ci.person_id', '<', '2177327']",880561.0
2880,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '1', 't.production_year', '>', '2003', 'mi_idx.info_type_id', '>', '101']",9595.0
2881,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '=', '1', 't.production_year', '>', '2013', 'mi.info_type_id', '>', '1']",358900.0
2882,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '<', '28548']",3865169.0
2883,"['t.id', '=', 'mc.movie_id', 't.production_year', '<', '1959', 'mc.company_id', '<', '34', 'mc.company_type_id', '=', '2']",5384.0
2884,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '>', '2']",1415547.0
2885,"['mk.keyword_id', '<', '16131']",3362793.0
2886,"['ci.person_id', '>', '508057']",30996237.0
2887,"['mc.company_id', '<', '18749', 'mc.company_type_id', '<', '2']",1126040.0
2888,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '2010', 'mc.company_type_id', '>', '1']",1657518.0
2889,"['ci.person_id', '<', '622433', 'ci.role_id', '<', '10']",6164375.0
2890,"['t.id', '=', 'mk.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '2002']",756749.0
2891,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 'ci.person_id', '=', '2356325']",69.0
2892,"['mk.keyword_id', '<', '2329']",1556169.0
2893,"['mk.keyword_id', '<', '685']",753947.0
2894,"['t.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 'mk.keyword_id', '=', '3']",7641.0
2895,"['mk.keyword_id', '>', '13436']",1308318.0
2896,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 'mc.company_id', '>', '5258']",38354879.0
2897,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '=', '1978']",32465.0
2898,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '1', 't.production_year', '<', '2008']",23894797.0
2899,"['mk.keyword_id', '=', '19545']",58.0
2900,"['ci.person_id', '=', '2552534', 'ci.role_id', '>', '2']",1.0
2901,"['ci.person_id', '=', '688734']",1009.0
2902,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.production_year', '>', '1993', 'mc.company_id', '=', '595', 'mc.company_type_id', '=', '1']",83915.0
2903,"['t.id', '=', 'mk.movie_id', 't.kind_id', '=', '7', 't.production_year', '<', '2000']",244943.0
2904,"['ci.person_id', '<', '1593437']",16090656.0
2905,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '1', 't.production_year', '>', '2011', 'ci.role_id', '=', '3', 'mi_idx.info_type_id', '<', '100']",38822.0
2906,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '1', 't.production_year', '>', '1917', 'ci.person_id', '<', '1162472', 'ci.role_id', '=', '2']",491.0
2907,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 'mk.keyword_id', '=', '229']",18944.0
2908,"['t.id', '=', 'mc.movie_id', 'mc.company_id', '<', '157301']",2508765.0
2909,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '>', '398']",3957660.0
2910,"['t.id', '=', 'mi_idx.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '2010', 'mi_idx.info_type_id', '>', '100']",212290.0
2911,"['t.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '1988', 'mi_idx.info_type_id', '>', '101']",123.0
2912,"['t.id', '=', 'mk.movie_id', 't.production_year', '>', '2013', 'mk.keyword_id', '=', '2048']",1.0
2913,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '7', 't.production_year', '<', '1958']",74028.0
2914,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '>', '1996', 'mc.company_type_id', '=', '1', 'mk.keyword_id', '=', '840']",3530.0
2915,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '=', '2000', 'mi_idx.info_type_id', '<', '100', 'mk.keyword_id', '=', '7125']",3.0
2916,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 'mi.info_type_id', '>', '15']",8226569.0
2917,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '>', '2', 't.production_year', '>', '2000', 'ci.person_id', '=', '408535', 'ci.role_id', '=', '1']",9.0
2918,"['t.id', '=', 'mc.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '2006']",806643.0
2919,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '7', 't.production_year', '>', '2005', 'mi_idx.info_type_id', '>', '99']",4374626.0
2920,"['t.id', '=', 'ci.movie_id', 't.production_year', '=', '2001', 'ci.person_id', '>', '2381134']",305329.0
2921,"['mc.company_id', '>', '17757']",968753.0
2922,"['t.id', '=', 'ci.movie_id', 't.kind_id', '<', '7', 'ci.person_id', '=', '536319']",1.0
2923,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '=', '2007', 'mi.info_type_id', '=', '2']",180456.0
2924,"['t.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 't.production_year', '=', '2012', 'mi.info_type_id', '<', '16']",370250.0
2925,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '>', '2', 'mk.keyword_id', '=', '4633']",523.0
2926,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '>', '2011', 'mi.info_type_id', '<', '16']",420417.0
2927,"['t.id', '=', 'mi_idx.movie_id', 't.production_year', '>', '2005', 'mi_idx.info_type_id', '=', '99']",143567.0
2928,"['t.id', '=', 'mc.movie_id', 't.production_year', '<', '2008']",1954214.0
2929,"['ci.person_id', '<', '166035']",1665584.0
2930,"['ci.person_id', '>', '144387']",34807917.0
2931,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 'mi_idx.info_type_id', '=', '100', 'mk.keyword_id', '<', '2241']",1051633.0
2932,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '>', '2011', 'mi_idx.info_type_id', '<', '101']",494898.0
2933,"['t.id', '=', 'mk.movie_id', 't.kind_id', '=', '1', 't.production_year', '<', '2011', 'mk.keyword_id', '<', '20649']",2163081.0
2934,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '4', 't.production_year', '<', '1962', 'ci.person_id', '>', '1141639', 'ci.role_id', '=', '1']",12.0
2935,"['mk.keyword_id', '<', '1920']",1408388.0
2936,"['mc.company_id', '>', '187134', 'mc.company_type_id', '>', '1']",55553.0
2937,"['t.id', '=', 'mc.movie_id', 't.kind_id', '<', '3', 't.production_year', '<', '1912']",67844.0
2938,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '=', '1971', 'mc.company_type_id', '>', '1']",8462.0
2939,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '7', 't.production_year', '>', '2001', 'mc.company_type_id', '>', '1', 'mk.keyword_id', '>', '1532']",317963.0
2940,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '>', '1', 't.production_year', '>', '2005', 'mi.info_type_id', '>', '7', 'mi_idx.info_type_id', '<', '100']",453865.0
2941,"['t.id', '=', 'mc.movie_id', 't.kind_id', '<', '7', 't.production_year', '=', '1997', 'mc.company_id', '>', '684', 'mc.company_type_id', '<', '2']",10895.0
2942,"['mc.company_id', '>', '66042', 'mc.company_type_id', '=', '2']",599892.0
2943,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 'ci.person_id', '>', '2528204', 'mk.keyword_id', '<', '916']",13181352.0
2944,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 'mc.company_id', '<', '6', 'mc.company_type_id', '<', '2']",119659.0
2945,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '7', 't.production_year', '=', '1980', 'mi.info_type_id', '<', '7', 'mk.keyword_id', '=', '683']",4.0
2946,"['t.id', '=', 'mi.movie_id', 't.kind_id', '=', '7', 't.production_year', '>', '2004']",1554513.0
2947,"['t.id', '=', 'mc.movie_id', 'mc.company_id', '>', '12308', 'mc.company_type_id', '<', '2']",318678.0
2948,"['t.id', '=', 'ci.movie_id', 't.kind_id', '>', '4', 't.production_year', '>', '2011']",2179382.0
2949,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '1', 't.production_year', '>', '2009']",18220542.0
2950,"['mk.keyword_id', '>', '20190']",938600.0
2951,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '=', '7', 't.production_year', '<', '2010', 'mi.info_type_id', '=', '16']",21146057.0
2952,"['ci.person_id', '>', '2717536']",9970164.0
2953,"['mc.company_id', '<', '114', 'mc.company_type_id', '=', '2']",56757.0
2954,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 'mc.company_id', '>', '27']",65383152.0
2955,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '<', '2265810']",22237040.0
2956,"['t.id', '=', 'mi_idx.movie_id', 't.production_year', '<', '2007', 'mi_idx.info_type_id', '>', '101']",219.0
2957,"['ci.person_id', '=', '2298427']",3.0
2958,"['t.id', '=', 'mc.movie_id', 't.production_year', '=', '1973']",17582.0
2959,"['t.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 'mi.info_type_id', '<', '2']",633102.0
2960,"['t.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '1912']",3852766.0
2961,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 'mk.keyword_id', '<', '1114']",46329979.0
2962,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 'mi.info_type_id', '=', '16', 'mk.keyword_id', '=', '29002']",65.0
2963,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '2005', 'mi_idx.info_type_id', '>', '99']",3083689.0
2964,"['ci.person_id', '=', '3959061']",32.0
2965,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '7', 't.production_year', '=', '1963', 'ci.person_id', '<', '2338729', 'ci.role_id', '>', '10']",60.0
2966,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 'ci.role_id', '>', '4', 'mi.info_type_id', '<', '110']",160035698.0
2967,"['t.id', '=', 'mc.movie_id', 't.kind_id', '<', '3', 'mc.company_id', '<', '17668']",875837.0
2968,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '<', '2010', 'mi_idx.info_type_id', '=', '101', 'mk.keyword_id', '>', '786']",2618526.0
2969,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '2005', 'mc.company_id', '=', '1877', 'ci.person_id', '<', '2431774']",23149.0
2970,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 'mi.info_type_id', '=', '2', 'mi_idx.info_type_id', '<', '101']",804584.0
2971,"['t.id', '=', 'mc.movie_id', 't.kind_id', '=', '4', 't.production_year', '<', '2005', 'mc.company_id', '<', '1736', 'mc.company_type_id', '=', '1']",4842.0
2972,"['t.id', '=', 'ci.movie_id', 't.kind_id', '>', '6', 'ci.person_id', '>', '3276019']",2586237.0
2973,"['mk.keyword_id', '>', '121787']",14171.0
2974,"['t.id', '=', 'mc.movie_id', 't.kind_id', '=', '7', 't.production_year', '>', '2011']",58891.0
2975,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '=', '7', 't.production_year', '=', '2012', 'mc.company_id', '>', '49889']",65709.0
2976,"['ci.person_id', '=', '2214812']",37.0
2977,"['ci.person_id', '>', '2327320', 'ci.role_id', '>', '4']",6729754.0
2978,"['t.kind_id', '<', '7', 't.production_year', '=', '1975']",6196.0
2979,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '1', 't.production_year', '=', '2001', 'ci.person_id', '<', '2790188']",125197.0
2980,"['t.id', '=', 'mc.movie_id', 'mc.company_id', '<', '846']",632067.0
2981,"['t.id', '=', 'ci.movie_id', 'ci.role_id', '>', '10']",316118.0
2982,"['mk.keyword_id', '>', '337']",4086309.0
2983,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '=', '1969', 'mi_idx.info_type_id', '>', '99']",74547.0
2984,"['mc.company_id', '=', '8112', 'mc.company_type_id', '=', '1']",2.0
2985,"['t.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 't.production_year', '=', '1930', 'mi.info_type_id', '>', '2']",25405.0
2986,"['t.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '2003']",571729.0
2987,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.production_year', '=', '1947', 'mc.company_id', '>', '476', 'mi.info_type_id', '=', '13']",2955.0
2988,"['mk.keyword_id', '=', '14245']",350.0
2989,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '=', '1537515', 'ci.role_id', '>', '1']",32.0
2990,"['t.kind_id', '<', '7', 't.production_year', '<', '1966']",222618.0
2991,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '1', 'mi.info_type_id', '=', '4']",678242.0
2992,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 'ci.person_id', '=', '1867248']",361.0
2993,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 'mk.keyword_id', '>', '9849']",84929899.0
2994,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '<', '2009']",175535756.0
2995,"['t.kind_id', '>', '1', 't.production_year', '<', '1972']",160225.0
2996,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '4', 't.production_year', '=', '2011', 'mk.keyword_id', '<', '8833']",73639.0
2997,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 'mc.company_type_id', '<', '2', 'mi_idx.info_type_id', '=', '99']",770661.0
2998,"['t.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '1918', 'mi_idx.info_type_id', '>', '100']",313096.0
2999,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 'ci.person_id', '<', '3343945']",35554389.0
3000,"['t.id', '=', 'mi.movie_id', 't.kind_id', '<', '4', 't.production_year', '=', '1998', 'mi.info_type_id', '<', '8']",63446.0
3001,"['mc.company_id', '<', '292']",417014.0
3002,"['t.id', '=', 'mc.movie_id', 't.production_year', '<', '1979', 'mc.company_id', '>', '6']",783278.0
3003,"['mi.info_type_id', '<', '12']",8770496.0
3004,"['t.id', '=', 'ci.movie_id', 't.kind_id', '>', '1', 't.production_year', '>', '1974']",23475405.0
3005,"['t.id', '=', 'mk.movie_id', 't.production_year', '>', '2010', 'mk.keyword_id', '<', '12920']",203046.0
3006,"['mk.keyword_id', '<', '8986']",2880786.0
3007,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '1', 'ci.role_id', '=', '1']",7421510.0
3008,"['mk.keyword_id', '<', '3078']",1849785.0
3009,"['ci.person_id', '>', '4036915']",159990.0
3010,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 'mi.info_type_id', '>', '18']",13840330.0
3011,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.production_year', '<', '2005', 'ci.role_id', '=', '9', 'mi.info_type_id', '=', '15']",441324.0
3012,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 'ci.person_id', '>', '1683686']",237965191.0
3013,"['t.id', '=', 'mi.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '2008', 'mi.info_type_id', '=', '2']",507544.0
3014,"['t.id', '=', 'ci.movie_id', 't.production_year', '>', '0', 'ci.person_id', '<', '20421', 'ci.role_id', '>', '1']",39859.0
3015,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 'mi.info_type_id', '<', '103']",59978312.0
3016,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '=', '600718']",80.0
3017,"['t.id', '=', 'mk.movie_id', 't.production_year', '>', '2007']",886170.0
3018,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 'mc.company_id', '<', '12305', 'mc.company_type_id', '=', '1']",36892556.0
3019,"['mk.keyword_id', '=', '571']",3351.0
3020,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '>', '4', 't.production_year', '<', '1958', 'ci.person_id', '<', '712922', 'mi.info_type_id', '<', '16']",407704.0
3021,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '1', 'ci.role_id', '<', '10']",15927158.0
3022,"['mk.keyword_id', '=', '11295']",80.0
3023,"['mc.company_id', '=', '7703']",385.0
3024,"['t.id', '=', 'mk.movie_id', 't.kind_id', '>', '2']",1454126.0
3025,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 'mc.company_id', '<', '7837', 'mc.company_type_id', '>', '1', 'ci.person_id', '>', '129204']",9069867.0
3026,"['t.id', '=', 'mi.movie_id', 't.kind_id', '=', '7', 't.production_year', '=', '2010']",204857.0
3027,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '1965', 'mi.info_type_id', '<', '3', 'mk.keyword_id', '<', '72905']",6266049.0
3028,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mk.movie_id', 'mk.keyword_id', '=', '249']",52431.0
3029,"['ci.person_id', '<', '3067768', 'ci.role_id', '<', '2']",12670688.0
3030,"['t.id', '=', 'mi.movie_id', 't.production_year', '=', '1970', 'mi.info_type_id', '=', '4']",8764.0
3031,"['mc.company_id', '<', '258', 'mc.company_type_id', '=', '1']",309001.0
3032,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 'ci.person_id', '>', '1094132', 'ci.role_id', '>', '1', 'mk.keyword_id', '>', '840']",97605283.0
3033,"['t.id', '=', 'mc.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '2011', 'mc.company_type_id', '=', '1']",41299.0
3034,"['t.id', '=', 'mc.movie_id', 'mc.company_id', '=', '14446']",79.0
3035,"['t.id', '=', 'mi.movie_id', 't.kind_id', '=', '7', 't.production_year', '<', '1988', 'mi.info_type_id', '>', '7']",535983.0
3036,"['mk.keyword_id', '>', '2199']",3003274.0
3037,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '>', '2000', 'mi_idx.info_type_id', '<', '100']",1402930.0
3038,"['mc.company_id', '=', '160', 'mc.company_type_id', '=', '2']",619.0
3039,"['ci.person_id', '<', '1373140']",13933699.0
3040,"['t.id', '=', 'mi.movie_id', 't.production_year', '=', '1972', 'mi.info_type_id', '<', '18']",79022.0
3041,"['t.id', '=', 'ci.movie_id', 't.production_year', '>', '1997']",23456210.0
3042,"['t.id', '=', 'mi.movie_id', 't.production_year', '<', '1934']",1371821.0
3043,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '7', 'ci.person_id', '<', '686636', 'ci.role_id', '>', '3']",771432.0
3044,"['t.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '4', 't.production_year', '>', '1999', 'mi_idx.info_type_id', '>', '99']",263457.0
3045,"['ci.person_id', '=', '3572609', 'ci.role_id', '>', '1']",115.0
